Master  Plot,LS,HQ,Crustose, Foliose, Fruticose, Squam, Bark, Non calc. rock, # Humus, PB Cyanobact., PB Absent, PB Green coccoid, PB Green trent., Sexual,#  Asexual, # EpiphyticMacrolichen No, # EpiphyticMacrolichen Yes,# Broad Lobes,# Narrow Lobes,# Pruina Pres,# Pruina Abs,# Cor Chem Absent,# Cort Chem Present
1,80,78.2,40,26,5,4,70,3,3,9,1,54,13,36,39,44,33,25,5,17,59,45,30
2,84,73.2,43,30,4,2,74,4,3,8,0,66,8,43,36,48,35,30,5,15,68,42,39
3,62,63.2,27,26,7,0,54,4,2,10,2,43,4,23,36,30,31,23,4,13,46,33,23
4,59,85.2,21,25,7,0,46,2,3,0,0,57,0,15,37,25,32,24,5,4,53,33,24
5,64,83.2,23,31,4,0,52,4,3,0,0,59,2,23,36,26,35,27,7,8,53,32,28
6,57,83.2,26,23,6,1,52,2,1,0,0,53,4,22,33,28,29,20,5,11,46,28,26
7,87,77,50,27,3,1,55,17,0,3,2,60,17,44,38,59,23,20,8,14,66,42,37
8,93,74,55,26,3,5,62,23,0,4,1,66,19,45,44,64,26,21,8,13,76,52,37
9,92,76,47,26,8,1,52,28,7,5,2,70,12,45,39,64,25,28,5,16,71,48,38
10,85,68,45,25,2,6,68,8,6,8,2,67,8,46,34,55,30,30,5,21,62,40,42
11,83,68.2,48,19,2,1,56,13,6,3,1,69,6,44,29,59,20,22,6,15,63,44,33
12,17,39.2,13,4,0,0,17,0,0,0,0,11,6,14,3,13,4,3,1,5,12,13,4
13,102,64,53,36,2,6,72,25,1,11,0,75,13,48,50,62,37,30,11,16,83,52,47
14,87,79.5,44,36,1,4,70,1,2,8,1,62,15,45,41,50,36,29,8,12,73,50,33
15,97,83.6,51,33,3,3,66,2,4,11,3,62,19,59,32,63,32,32,7,14,78,51,37
16,19,32.6,6,12,1,0,19,0,0,0,0,19,0,8,11,6,13,11,1,3,16,14,5
17,73,89.2,44,26,0,1,54,1,0,6,2,55,9,50,21,48,24,21,6,13,57,39,29
18,94,89.2,51,31,2,6,64,13,2,9,2,68,12,58,32,62,29,26,8,16,73,50,36
19,75,83.8,35,22,0,5,54,5,13,2,2,66,4,31,36,50,24,26,5,7,65,42,30
20,81,78.8,46,22,5,2,57,14,7,5,1,58,15,39,39,55,24,21,5,16,62,47,31
21,108,95.2,64,28,5,6,85,16,2,6,1,67,30,54,50,73,32,26,7,16,88,64,39
22,117,89.2,60,40,3,7,101,3,6,4,2,97,12,50,60,68,47,42,6,23,90,65,47
23,119,89.2,73,31,7,3,102,11,2,6,0,82,29,68,47,78,39,26,8,23,94,64,52
24,70,76,32,28,4,2,53,9,4,1,1,62,6,29,38,41,29,29,3,13,56,36,33
25,84,72.2,47,28,2,3,74,5,1,6,1,67,8,44,35,49,33,29,3,17,64,44,35
26,99,72.8,47,43,3,3,81,13,1,9,0,82,6,43,54,53,46,38,9,16,83,54,44
27,93,89.2,56,22,4,2,71,12,6,2,0,67,21,49,38,65,25,23,4,11,79,52,38
28,47,88.2,26,12,2,2,37,5,2,3,0,30,11,22,20,31,14,12,3,7,38,28,17
29,53,27.9,32,18,3,0,50,2,0,1,2,43,7,29,24,33,20,13,5,6,45,28,21
30,6,8.2,2,3,0,0,5,0,0,0,0,5,0,3,2,2,3,1,2,0,5,3,1
31,23,24,12,9,0,0,18,1,0,0,1,18,2,9,12,13,8,4,5,0,20,12,7
