LS,Lat,Long,Elevation (m),Slope (degrees),HQ
80,35.46750,-83.56170,564,10,78.2
84,35.48280,-83.55970,670,5,73.2
62,35.47000,-83.55830,603,2,63.2
59,35.56310,-83.49830,2014,10,85.2
64,35.58500,-83.47470,1864,15,83.2
57,35.61000,-83.44670,1608,15,83.2
87,34.47731,-86.05828,237,40,77
93,34.47170,-86.05110,274,0,74
92,34.37360,-85.69220,352,5,76
85,34.36786,-85.62986,367,5,68
83,34.45592,-85.58447,398,15,68.2
17,34.38944,-85.61956,371,0,39.2
102,34.35056,-85.67525,342,30,64
87,34.97797,-85.81031,223,10,79.5
97,34.95553,-85.99956,233,60,83.6
19,34.94025,-85.97656,204,5,32.6
73,34.98875,-86.10064,266,25,89.2
94,34.97881,-86.08822,351,5,89.2
75,34.32911,-87.50922,285,0,83.8
81,34.30800,-87.50314,207,15,78.8
108,34.33110,-87.45060,251,20,95.2
117,34.34080,-87.44220,281,25,89.2
119,34.30920,-87.39470,197,20,89.2
70,33.19462,-86.06390,384,20,76
84,34.94088,-86.08268,494,0,72.2
99,34.82945,-86.16644,472,32,72.8
93,34.32094,-87.46672,189,20,89.2
47,34.32486,-87.45081,191,20,88.2
53,34.58146,-86.86487,170,0,27.9
6,34.61009,-86.85401,165,0,8.2
23,34.61837,-86.87563,166,0,24
87,34.94222,-86.05278,271,15,86.2
43,34.68509,-86.99330,190,0,30.7
39,34.64484,-86.82149,188,0,41.7
71,34.91872,-86.02870,222,20,78.2
20,34.94226,-86.06723,409,5,29.2
117,34.11915,-87.32627,198,5,69.8
82,34.23926,-87.89563,182,30,52.2
99,34.89674,-86.13516,514,13,88.2
56,34.85840,-86.13125,522,0,34.6
0,34.51324,-86.26026,370,0,0
83,34.27301,-87.37579,205,35,82
79,34.24325,-87.36827,171,15,80
53,34.88058,-86.12507,528,0,49.8
58,34.87228,-86.13607,537,0,70.6
51,34.88996,-86.13808,544,0,57.1
14,34.88354,-86.13230,532,0,44
0,34.88974,-86.11448,519,0,32
34,34.85635,-86.05287,522,0,36.2
93,34.93690,-85.96131,375,20,76.2
54,34.92822,-85.96609,225,25,73.2
71,34.85146,-85.92503,233,10,67
3,34.83760,-85.92688,188,0,9
100,35.59472,-83.10778,976,5,70.2
74,35.59111,-83.09520,1054,10,81.2
59,35.58720,-83.14270,1218,15,66.2
87,35.31949,-84.23027,454,10,75.2
65,35.31321,-84.21034,576,15,51.2
54,35.31871,-84.31603,497,10,57
86,35.30327,-84.32088,509,20,63
77,35.64331,-83.63351,906,10,81.2
68,35.66836,-83.68276,410,30,62.2
74,35.47643,-84.11474,290,0,42.2
50,35.71188,-83.62992,484,5,25.4
73,35.58103,-84.19482,267,5,34.4
69,35.59337,-83.73161,954,30,76.2
92,35.56289,-83.74313,1531,0,81.2
76,35.31421,-84.15181,707,10,76.2
93,35.32396,-84.17744,447,30,70.2
56,35.34889,-84.24822,321,40,41.2
113,35.01250,-84.52365,1115,20,85.2
89,35.03298,-84.51732,787,15,77.2
48,35.34455,-84.03542,1358,0,36.8
94,35.37221,-84.00853,1550,6,84.2
108,35.34543,-84.06456,1198,18,71.2
89,35.56404,-83.71391,1654,10,77.2
87,35.57027,-83.73064,1308,5,75.2
80,36.16597,-82.29395,808,15,65
35,36.13738,-82.35148,706,0,58
31,36.08559,-82.66755,870,60,68.2
48,36.08561,-82.66414,807,15,81.2
76,36.12533,-82.53793,565,0,62
88,36.00805,-82.88451,519,15,83
75,35.93561,-82.91128,355,60,60
70,35.96975,-82.99503,619,15,50
71,36.22005,-82.00369,1082,0,62
32,36.24966,-82.15682,652,40,87
74,36.30918,-82.07326,633,0,38
112,36.12710,-82.31076,1298,30,91.2
